moves,comment,good
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1,"Lilienthal realizes that this Bishop's retreat to the home square will delay
the natural developement Ra1-d1. Even not considering that such a move avoids
the exchange Nc4xe3 (Black would remain with the advantage of the Bishop pair)
and the capture of the b2 Pawn, it is right through the b2 square that he want
to exploit the power of the darksquare Bishop. Eventually the Rook will be
able to seize the right square.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5,Perhaps castling was a better move for Black.,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5,Very good! Brings good opportunities.,False
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7,17. Nb3 is not convenient because of 17... Qc6 and Black has advantage.,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5,"Of course not 18... Nb6 19. Be3 and 18... Nxa3 19. Bxa3 b4 20.
Rd1 Qxc3 21. Qxc3 bxc3 22. Rxd6 neither, because White is better.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2,Now White threatens Ra1-d1 followed by f4-f5.,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2 Kxe7 20. Rd1 Qb6 21. f5 Rae8,"To 21... e5 may follow 22. f6+ gxf6 23. Qh4 d5 24.Nxd5+ Bxd5 25. Rxd5
with strong attack.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2 Kxe7 20. Rd1 Qb6 21. f5 Rae8 22. fxe6 fxe6 23. Qh4+ Kd7 24. Rf7+ Kc8 25. Ne4 d5,Pikler begins to be afraid. Not good 25... Bxe4 for 26. Qxe4 d5 27. Qf4,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2 Kxe7 20. Rd1 Qb6 21. f5 Rae8 22. fxe6 fxe6 23. Qh4+ Kd7 24. Rf7+ Kc8 25. Ne4 d5 26. Be5,Threatens Ne4-d6+,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2 Kxe7 20. Rd1 Qb6 21. f5 Rae8 22. fxe6 fxe6 23. Qh4+ Kd7 24. Rf7+ Kc8 25. Ne4 d5 26. Be5 dxe4 27. Rdd7 Rd8 28. Qe7,"Lilienthal has sent
all his forces to the attack, leaving his own field totally undefended. But he
could do that: now any reply for Black will not avoit mate in four.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2 Kxe7 20. Rd1 Qb6 21. f5 Rae8 22. fxe6 fxe6 23. Qh4+ Kd7 24. Rf7+ Kc8 25. Ne4 d5 26. Be5 dxe4 27. Rdd7 Rd8 28. Qe7 Nc6 29. Qxe6,"It is not the most accurate. After 29. Rxd8+ Rxd8 the is mate in two:
30. Qxe6+ Rd7 31. Qxd7#",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. Be3 d6 9. Kh1 Be7 10. f4 Na5 11. Qe1 b5 12. Bf3 Bb7 13. a3 Nc4 14. Bc1 Qc5 15. e5 Bxf3 16. exf6 Bb7 17. fxe7 Qxd4 18. b3 Na5 19. Bb2 Kxe7 20. Rd1 Qb6 21. f5 Rae8 22. fxe6 fxe6 23. Qh4+ Kd7 24. Rf7+ Kc8 25. Ne4 d5 26. Be5 dxe4 27. Rdd7 Rd8 28. Qe7 Nc6 29. Qxe6 Nxe5 30. Rxb7+,"But ... even if at this point
it is unimportant, 30. Rxd8+ Kxd8 31. Qxb6+ Ke8 32. Qe6+ Kd8 33. Qe7+ Kc8 34.
Qc7#. Maybe the zeitnot prevents him from seeing the forced mate.",True
